номер,обоснование,наименование,ед_изм,кол_на_ед,коэф1,всего_коэф,база_ед,индекс,тек_ед,коэф2,всего_руб,row_index,раздел,вид_работ,тип_работы,категория
9,ФСБЦ-04.3.02.13-0105,"Смеси сухие цементно-песчаные монтажно-кладочные, крупность заполнителя не более 3,5 мм, класс В15 (М200), F100( расход 2 кг-1мм)",т,0.08,1.0,0.08,5914.25,1.2,7097.1,,567.77,135,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,материалы,монтажные работы
,,"(Устройство покрытий дорожек, тротуаров, мостовых и площадок и прочее)",,,,,,,,,,136,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
,,"Объем=0,002*40",,,,,,,,,,137,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,,,567.77,138,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
10,ТЦ_05.2.04.04_71_7100000000_08.09.2025_02_55.1,Плитка бетонная  тактильная 500х500х30,шт,4.0,1.0,4.0,,,880.0,,3520.0,139,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,материалы,монтажные работы
,,"(Устройство покрытий дорожек, тротуаров, мостовых и площадок и прочее)",,,,,,,,,,140,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,,,3520.0,141,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
11,ГЭСНм10-01-039-06,"Реле, ключ, кнопка и др. с подготовкой места установки( кнопка вызова персонала)",шт,1.0,1.0,1.0,,,,,,142,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,материалы,монтажные работы
,1,ОТ(ЗТ),чел.-ч,,,2.0,,,,,695.88,143,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,услуги,монтажные работы
,1-100-30,"Средний разряд работы 3,0",чел.-ч,2.0,,2.0,,,347.94,,695.88,144,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,услуги,монтажные работы
,,Итого прямые затраты,,,,,,,,,695.88,145,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
11.1,421/пр_2020_п.75_пп.а,Вспомогательные ненормируемые материальные ресурсы,%,2.0,,2.0,,,,,13.92,146,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
,,ФОТ,,,,,,,,,695.88,147,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
,Пр/812-051.1-1,НР Прокладка и монтаж сетей связи,%,90.0,,90.0,,,,,626.29,148,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
,Пр/774-051.1,СП Прокладка и монтаж сетей связи,%,46.0,,46.0,,,,,320.1,149,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
